date,category,amount_spent
2026-01-01,Bills,7968
2026-01-01,Shopping,1686
2026-01-02,Food,5574
2026-01-02,Food,4956
2026-01-02,Dining,1908
2026-01-03,Groceries,2771
2026-01-03,Food,4277
2026-01-04,Entertainment,2528
2026-01-05,Shopping,1513
2026-01-06,Shopping,1312
2026-01-06,Education,2263
2026-01-06,Transport,1890
2026-01-07,Groceries,5229
2026-01-07,Food,3327
2026-01-08,Entertainment,3461
2026-01-08,Food,5479
2026-01-08,Shopping,6601
2026-01-09,Transport,1314
2026-01-10,Food,2487
2026-01-10,Transport,5155
2026-01-10,Groceries,3373
2026-01-11,Shopping,7924
2026-01-11,Groceries,2835
2026-01-12,Shopping,4499
2026-01-13,Transport,5102
2026-01-14,Health,8853
2026-01-14,Groceries,1399
2026-01-15,Transport,2151
2026-01-16,Food,4805
2026-01-16,Groceries,1435
2026-01-17,Transport,3370
2026-01-17,Groceries,3668
2026-01-17,Shopping,7974
2026-01-18,Entertainment,4922
2026-01-19,Shopping,1564
2026-01-19,Food,3336
2026-01-20,Transport,4450
2026-01-20,Groceries,3960
2026-01-20,Health,7185
2026-01-21,Bills,7323
2026-01-22,Shopping,8588
2026-01-23,Dining,5209
2026-01-24,Shopping,7019
2026-01-25,Bills,9634
2026-01-25,Food,4479
2026-01-26,Transport,1921
2026-01-26,Entertainment,5061
2026-01-27,Groceries,3739
2026-01-27,Shopping,6733
2026-01-27,Education,3972
2026-01-28,Food,2700
2026-01-29,Dining,8445
2026-01-29,Entertainment,3487
2026-01-29,Dining,567
2026-01-30,Groceries,3824
2026-01-31,Transport,1828
2026-01-31,Shopping,8945
2026-01-31,Education,2384
