date,category,amount_spent
2026-02-01,Bills,4014
2026-02-01,Groceries,1814
2026-02-02,Transport,1840
2026-02-03,Dining,955
2026-02-04,Food,1592
2026-02-04,Shopping,519
2026-02-05,Transport,2397
2026-02-06,Bills,1008
2026-02-07,Health,3882
2026-02-08,Shopping,1522
2026-02-09,Groceries,703
2026-02-09,Food,2199
2026-02-09,Other,2008
2026-02-10,Transport,551
2026-02-10,Food,1603
2026-02-11,Dining,761
2026-02-11,Transport,1040
2026-02-11,Education,3763
2026-02-12,Shopping,210
2026-02-13,Groceries,2833
2026-02-13,Health,2939
2026-02-13,Transport,884
2026-02-14,Entertainment,2281
2026-02-14,Transport,2259
2026-02-15,Shopping,899
2026-02-15,Entertainment,1741
2026-02-16,Entertainment,918
2026-02-16,Transport,1656
2026-02-16,Shopping,214
2026-02-17,Transport,993
2026-02-17,Shopping,1510
2026-02-18,Entertainment,1531
2026-02-18,Education,3787
2026-02-19,Dining,1029
2026-02-20,Dining,937
2026-02-20,Transport,2699
2026-02-21,Transport,2874
2026-02-22,Entertainment,447
2026-02-22,Entertainment,591
2026-02-23,Entertainment,916
2026-02-23,Transport,931
2026-02-24,Entertainment,1461
2026-02-24,Food,1821
2026-02-25,Groceries,547
2026-02-25,Shopping,796
2026-02-26,Food,2619
2026-02-27,Entertainment,698
2026-02-27,Shopping,2042
2026-02-28,Bills,2077
2026-02-28,Transport,736
2026-02-28,Food,2861
