date,category,amount_spent
2026-12-01,Groceries,8939
2026-12-01,Transport,6432
2026-12-01,Dining,11794
2026-12-02,Food,8492
2026-12-02,Entertainment,12547
2026-12-02,Groceries,8079
2026-12-03,Dining,15212
2026-12-03,Dining,12417
2026-12-04,Shopping,14059
2026-12-05,Shopping,8136
2026-12-05,Dining,10548
2026-12-06,Food,5429
2026-12-07,Shopping,15057
2026-12-07,Groceries,4172
2026-12-08,Dining,16148
2026-12-09,Bills,9835
2026-12-09,Education,7621
2026-12-10,Dining,6118
2026-12-10,Bills,2328
2026-12-11,Dining,14521
2026-12-11,Transport,3851
2026-12-11,Entertainment,6396
2026-12-12,Shopping,17610
2026-12-12,Entertainment,17372
2026-12-13,Transport,4411
2026-12-13,Entertainment,14643
2026-12-14,Entertainment,11690
2026-12-15,Entertainment,7775
2026-12-15,Dining,10162
2026-12-16,Dining,10981
2026-12-16,Shopping,11890
2026-12-16,Food,7912
2026-12-17,Groceries,7360
2026-12-17,Groceries,5928
2026-12-18,Groceries,7220
2026-12-18,Food,9348
2026-12-19,Food,4483
2026-12-19,Health,2134
2026-12-20,Entertainment,9319
2026-12-21,Transport,4827
2026-12-22,Shopping,14769
2026-12-22,Food,9796
2026-12-22,Food,4400
2026-12-23,Shopping,13477
2026-12-23,Food,3913
2026-12-24,Entertainment,9676
2026-12-25,Dining,10594
2026-12-26,Food,9300
2026-12-26,Shopping,16800
2026-12-26,Food,9386
2026-12-27,Entertainment,17742
2026-12-27,Groceries,6050
2026-12-27,Shopping,12696
2026-12-28,Entertainment,11185
2026-12-29,Health,10294
2026-12-29,Food,5432
2026-12-29,Dining,6282
2026-12-30,Transport,2478
2026-12-30,Transport,9417
2026-12-31,Shopping,8039
